Date/Time,V10,D10,V70,D70,V80,D80
2019-01-01_00:00:00,11.193,56.1,13.651,293.4,14.111,43.1
2019-01-01_01:00:00,10.287,53.7,12.558,289.5,12.989,39.1
2019-01-01_02:00:00,10.413,54.7,12.510,288.3,12.868,37.6
2019-01-01_03:00:00,11.222,55.4,13.519,291.9,13.892,41.1
2019-01-01_04:00:00,11.810,54.2,14.306,292.3,14.734,41.8
2019-01-01_05:00:00,11.744,58.4,14.075,296.5,14.525,46.7
2019-01-01_06:00:00,13.100,58.0,15.561,297.0,16.008,47.2
2019-01-01_07:00:00,13.310,58.8,15.474,297.5,15.965,47.4
2019-01-01_08:00:00,12.633,57.6,14.976,297.1,15.480,47.3
2019-01-01_09:00:00,12.317,60.1,14.562,299.8,14.957,50.0
2019-01-01_10:00:00,11.661,59.1,14.234,300.1,14.625,50.7
2019-01-01_11:00:00,10.829,60.3,12.929,300.0,13.319,50.6
2019-01-01_12:00:00,10.057,61.3,12.361,299.8,12.646,50.5
2019-01-01_13:00:00,12.076,55.5,14.307,295.3,14.757,45.3
2019-01-01_14:00:00,12.555,55.8,15.107,294.4,15.607,44.0
2019-01-01_15:00:00,11.696,56.1,14.443,295.1,14.949,44.9
2019-01-01_16:00:00,11.777,56.7,14.094,294.8,14.582,44.6
2019-01-01_17:00:00,11.526,56.1,14.120,295.1,14.616,44.7
2019-01-01_18:00:00,11.594,58.3,13.935,297.8,14.434,48.0
2019-01-01_19:00:00,12.576,60.0,15.201,297.8,15.740,47.9
2019-01-01_20:00:00,12.779,57.9,15.109,296.5,15.647,46.7
2019-01-01_21:00:00,12.894,58.5,15.290,298.4,15.821,48.5
2019-01-01_22:00:00,12.349,58.4,14.663,297.9,15.099,48.2
2019-01-01_23:00:00,12.859,56.2,15.074,296.2,15.577,46.3
2019-01-02_00:00:00,12.122,57.9,14.489,296.8,14.923,46.8
2019-01-02_01:00:00,11.634,55.3,13.842,293.4,14.300,43.1
2019-01-02_02:00:00,10.892,52.5,13.191,290.8,13.648,40.0
2019-01-02_03:00:00,11.416,52.1,13.762,289.9,14.282,39.6
2019-01-02_04:00:00,11.174,54.4,13.112,290.7,13.585,40.4
2019-01-02_05:00:00,12.091,56.1,14.525,292.4,15.108,41.8
